Model name,Wins,Points
ga_generation_29_nn_4.keras, 3, 355
ga_generation_29_nn_12.keras, 4, 392
ga_generation_29_nn_2.keras, 0, 298
ga_generation_29_nn_5.keras, 0, 306
ga_generation_30_nn_19.keras, 1, 311
ga_generation_30_nn_9.keras, 2, 370
ga_generation_30_nn_2.keras, 1, 323
ga_generation_30_nn_12.keras, 1, 295
ga_generation_30_nn_7.keras, 0, 318
ga_generation_30_nn_14.keras, 2, 359
ga_generation_30_nn_4.keras, 0, 192
ga_generation_30_nn_8.keras, 1, 304
ga_generation_30_nn_20.keras, 0, 274
ga_generation_30_nn_15.keras, 2, 326
ga_generation_30_nn_17.keras, 1, 341
ga_generation_30_nn_10.keras, 0, 267
ga_generation_30_nn_5.keras, 0, 238
ga_generation_30_nn_11.keras, 1, 328
ga_generation_30_nn_6.keras, 1, 314
ga_generation_30_nn_1.keras, 1, 241
ga_generation_30_nn_3.keras, 1, 316
ga_generation_30_nn_16.keras, 0, 196
ga_generation_30_nn_18.keras, 0, 229
ga_generation_30_nn_13.keras, 2, 336
ga_generation_31_nn_16.keras, 2, 317
ga_generation_31_nn_13.keras, 0, 302
ga_generation_31_nn_3.keras, 3, 409
ga_generation_31_nn_15.keras, 2, 298
ga_generation_31_nn_10.keras, 2, 327
ga_generation_31_nn_8.keras, 2, 341
ga_generation_31_nn_7.keras, 1, 308
ga_generation_31_nn_12.keras, 0, 234
ga_generation_31_nn_5.keras, 4, 435
ga_generation_31_nn_9.keras, 1, 343
ga_generation_31_nn_14.keras, 1, 352
ga_generation_31_nn_1.keras, 0, 310
ga_generation_31_nn_11.keras, 1, 307
