Model name,Wins,Points
ga_generation_29_nn_15.keras, 1, 344
ga_generation_30_nn_12.keras, 1, 344
ga_generation_28_nn_10.keras, 0, 314
ga_generation_30_nn_7.keras, 1, 309
ga_generation_31_nn_16.keras, 0, 363
ga_generation_31_nn_14.keras, 1, 356
ga_generation_31_nn_15.keras, 2, 367
ga_generation_31_nn_12.keras, 0, 263
ga_generation_30_nn_12.keras, 1, 295
ga_generation_29_nn_15.keras, 1, 363
ga_generation_31_nn_13.keras, 0, 296
ga_generation_31_nn_10.keras, 1, 386
ga_generation_30_nn_14.keras, 1, 356
ga_generation_31_nn_7.keras, 0, 291
ga_generation_30_nn_13.keras, 0, 200
ga_generation_31_nn_11.keras, 0, 259
ga_generation_31_nn_8.keras, 0, 327
ga_generation_29_nn_16.keras, 1, 345
ga_generation_31_nn_9.keras, 0, 278
ga_generation_30_nn_9.keras, 1, 359
ga_generation_31_nn_15.keras, 2, 369
ga_generation_32_nn_8.keras, 2, 361
ga_generation_32_nn_10.keras, 0, 341
ga_generation_29_nn_15.keras, 0, 203
ga_generation_30_nn_14.keras, 3, 358
ga_generation_31_nn_14.keras, 2, 351
ga_generation_32_nn_16.keras, 1, 342
ga_generation_32_nn_7.keras, 3, 368
ga_generation_30_nn_9.keras, 0, 293
ga_generation_31_nn_10.keras, 1, 276
ga_generation_32_nn_13.keras, 0, 324
ga_generation_32_nn_15.keras, 2, 355
ga_generation_32_nn_11.keras, 1, 355
ga_generation_32_nn_12.keras, 2, 364
ga_generation_32_nn_9.keras, 1, 331
ga_generation_32_nn_14.keras, 0, 338
ga_generation_33_nn_14.keras, 2, 349
ga_generation_33_nn_13.keras, 2, 336
ga_generation_33_nn_8.keras, 1, 352
ga_generation_31_nn_15.keras, 0, 326
ga_generation_33_nn_12.keras, 0, 277
ga_generation_30_nn_14.keras, 1, 363
ga_generation_32_nn_12.keras, 0, 284
ga_generation_33_nn_15.keras, 1, 293
ga_generation_32_nn_7.keras, 0, 297
ga_generation_32_nn_8.keras, 1, 346
ga_generation_32_nn_15.keras, 2, 345
ga_generation_33_nn_7.keras, 1, 349
ga_generation_33_nn_16.keras, 0, 306
ga_generation_33_nn_11.keras, 1, 356
ga_generation_33_nn_9.keras, 1, 345
ga_generation_33_nn_10.keras, 2, 325
ga_generation_32_nn_15.keras, 0, 293
ga_generation_34_nn_13.keras, 2, 350
ga_generation_34_nn_7.keras, 1, 280
ga_generation_33_nn_14.keras, 0, 289
ga_generation_34_nn_16.keras, 1, 262
ga_generation_34_nn_15.keras, 1, 305
ga_generation_33_nn_13.keras, 0, 235
ga_generation_34_nn_9.keras, 2, 383
ga_generation_33_nn_11.keras, 0, 284
ga_generation_34_nn_14.keras, 4, 353
ga_generation_34_nn_11.keras, 1, 322
ga_generation_30_nn_14.keras, 1, 268
ga_generation_34_nn_8.keras, 0, 285
ga_generation_34_nn_10.keras, 1, 374
ga_generation_34_nn_12.keras, 2, 363
ga_generation_33_nn_10.keras, 2, 351
ga_generation_35_nn_13.keras, 3, 384
ga_generation_35_nn_7.keras, 2, 327
ga_generation_34_nn_10.keras, 0, 259
ga_generation_34_nn_9.keras, 2, 394
